;$FILEVERSION=2.0
;$STARTTIME=45232.8661187384
;$COLUMNS=N,O,T,I,d,l,D
;
;   Start time: 2023/11/2 20:47:12.659.0
;   Generated by PCAN-View v4.3.4.615
;-------------------------------------------------------------------------------
;   Connection                 Bit rate
     36       572.777 DT     0080 Rx 0  
     37       576.768 DT     0080 Rx 0  
     38       580.759 DT     0080 Rx 0  
     39       584.746 DT     0080 Rx 0  
     40       588.734 DT     0080 Rx 0  
     41       592.725 DT     0080 Rx 0  
     42       596.715 DT     0080 Rx 0  
     43       600.703 DT     0080 Rx 0  
     44       604.693 DT     0080 Rx 0  
     45       608.684 DT     0080 Rx 0  
     46       612.672 DT     0080 Rx 0  
     47       616.662 DT     0080 Rx 0  
     48       620.653 DT     0080 Rx 0  
     49       624.644 DT     0080 Rx 0  
     50       628.631 DT     0080 Rx 0  
     51       632.622 DT     0080 Rx 0  
     52       636.612 DT     0080 Rx 0  
     53       640.600 DT     0080 Rx 0  
     54       644.591 DT     0080 Rx 0  
     55       648.579 DT     0080 Rx 0  
     56       652.567 DT     0080 Rx 0  
     57       656.557 DT     0080 Rx 0  
     58       660.548 DT     0080 Rx 0  
     59       664.538 DT     0080 Rx 0  
     60       668.525 DT     0080 Rx 0  
     61       672.516 DT     0080 Rx 0  
     62       676.506 DT     0080 Rx 0  
     63       680.497 DT     0080 Rx 0  
     64       684.485 DT     0080 Rx 0  
     65       688.476 DT     0080 Rx 0  
     66       692.466 DT     0080 Rx 0  
     67       696.457 DT     0080 Rx 0  
     68       700.445 DT     0080 Rx 0  
     69       704.436 DT     0080 Rx 0  
     70       708.424 DT     0080 Rx 0  
     71       712.416 DT     0080 Rx 0  
     72       716.404 DT     0080 Rx 0  
     73       720.394 DT     0080 Rx 0  
     74       724.383 DT     0080 Rx 0  
     75       728.373 DT     0080 Rx 0  
     76       732.364 DT     0080 Rx 0  
     77       736.354 DT     0080 Rx 0  
     78       740.342 DT     0080 Rx 0  
     79       744.332 DT     0080 Rx 0  
     80       748.323 DT     0080 Rx 0  
     81       752.314 DT     0080 Rx 0  
     82       756.304 DT     0080 Rx 0  
     83       760.295 DT     0080 Rx 0  
     84       764.284 DT     0080 Rx 0  
     85       768.276 DT     0080 Rx 0  
     86       772.266 DT     0080 Rx 0  
     87       776.255 DT     0080 Rx 0  
     88       780.244 DT     0080 Rx 0  
     89       784.237 DT     0080 Rx 0  
     90       788.227 DT     0080 Rx 0  
     91       792.218 DT     0080 Rx 0  
     92       796.208 DT     0080 Rx 0  
     93       800.198 DT     0080 Rx 0  
     94       804.189 DT     0080 Rx 0  
     95       808.179 DT     0080 Rx 0  
     96       812.168 DT     0080 Rx 0  
     97       816.158 DT     0080 Rx 0  
     98       820.150 DT     0080 Rx 0  
     99       824.140 DT     0080 Rx 0  
    100       828.128 DT     0080 Rx 0  
    101       832.119 DT     0080 Rx 0  
    102       836.110 DT     0080 Rx 0  
    103       840.100 DT     0080 Rx 0  
    104       844.090 DT     0080 Rx 0  
    105       848.080 DT     0080 Rx 0  
    106       852.070 DT     0080 Rx 0  
    107       856.061 DT     0080 Rx 0  
    108       860.051 DT     0080 Rx 0  
    109       864.040 DT     0080 Rx 0  
    110       868.031 DT     0080 Rx 0  
    111       872.022 DT     0080 Rx 0  
    112       876.010 DT     0080 Rx 0  
    113       880.000 DT     0080 Rx 0  
    114       883.990 DT     0080 Rx 0  
    115       887.981 DT     0080 Rx 0  
    116       891.972 DT     0080 Rx 0  
    117       895.961 DT     0080 Rx 0  
    118       899.953 DT     0080 Rx 0  
    119       903.942 DT     0080 Rx 0  
    120       907.935 DT     0080 Rx 0  
    121       911.923 DT     0080 Rx 0  
    122       915.914 DT     0080 Rx 0  
    123       919.904 DT     0080 Rx 0  
    124       923.893 DT     0080 Rx 0  
    125       927.885 DT     0080 Rx 0  
    126       931.873 DT     0080 Rx 0  
    127       935.863 DT     0080 Rx 0  
    128       939.854 DT     0080 Rx 0  
    129       943.845 DT     0080 Rx 0  
    130       947.834 DT     0080 Rx 0  
    131       951.823 DT     0080 Rx 0  
    132       955.813 DT     0080 Rx 0  
    133       959.804 DT     0080 Rx 0  
    134       963.794 DT     0080 Rx 0  
    135       967.785 DT     0080 Rx 0  
    136       971.773 DT     0080 Rx 0  
    137       975.764 DT     0080 Rx 0  
    138       979.752 DT     0080 Rx 0  
    139       983.744 DT     0080 Rx 0  
    140       987.732 DT     0080 Rx 0  
    141       991.724 DT     0080 Rx 0  
    142       995.712 DT     0080 Rx 0  
    143       999.702 DT     0080 Rx 0  
    144      1003.692 DT     0080 Rx 0  
    145      1007.680 DT     0080 Rx 0  
    146      1011.670 DT     0080 Rx 0  
    147      1015.661 DT     0080 Rx 0  
    148      1019.648 DT     0080 Rx 0  
    149      1023.639 DT     0080 Rx 0  
    150      1027.629 DT     0080 Rx 0  
    151      1031.620 DT     0080 Rx 0  
    152      1035.610 DT     0080 Rx 0  
    153      1039.600 DT     0080 Rx 0  
    154      1043.590 DT     0080 Rx 0  
    155      1047.579 DT     0080 Rx 0  
    156      1051.571 DT     0080 Rx 0  
    157      1055.560 DT     0080 Rx 0  
    158      1059.551 DT     0080 Rx 0  
    159      1063.542 DT     0080 Rx 0  
    160      1067.533 DT     0080 Rx 0  
    161      1071.521 DT     0080 Rx 0  
    162      1075.511 DT     0080 Rx 0  
    163      1079.502 DT     0080 Rx 0  
    164      1083.490 DT     0080 Rx 0  
    165      1087.480 DT     0080 Rx 0  
    166      1091.471 DT     0080 Rx 0  
    167      1095.461 DT     0080 Rx 0  
    168      1099.450 DT     0080 Rx 0  
    169      1103.442 DT     0080 Rx 0  
    170      1107.429 DT     0080 Rx 0  
    171      1111.419 DT     0080 Rx 0  
    172      1115.410 DT     0080 Rx 0  
    173      1119.399 DT     0080 Rx 0  
    174      1123.391 DT     0080 Rx 0  
    175      1127.379 DT     0080 Rx 0  
    176      1131.368 DT     0080 Rx 0  
    177      1135.359 DT     0080 Rx 0  
    178      1139.348 DT     0080 Rx 0  
    179      1143.338 DT     0080 Rx 0  
    180      1147.328 DT     0080 Rx 0  
    181      1151.318 DT     0080 Rx 0  
    182      1155.308 DT     0080 Rx 0  
    183      1159.297 DT     0080 Rx 0  
    184      1163.287 DT     0080 Rx 0  
    185      1167.278 DT     0080 Rx 0  
    186      1171.268 DT     0080 Rx 0  
    187      1175.260 DT     0080 Rx 0  
    188      1179.249 DT     0080 Rx 0  
    189      1183.239 DT     0080 Rx 0  
    190      1187.228 DT     0080 Rx 0  
    191      1191.220 DT     0080 Rx 0  
    192      1195.209 DT     0080 Rx 0  
    193      1199.201 DT     0080 Rx 0  
    194      1203.192 DT     0080 Rx 0  
    195      1207.181 DT     0080 Rx 0  
    196      1211.172 DT     0080 Rx 0  
    197      1215.162 DT     0080 Rx 0  
    198      1219.152 DT     0080 Rx 0  
    199      1223.142 DT     0080 Rx 0  
    200      1227.130 DT     0080 Rx 0  
    201      1231.120 DT     0080 Rx 0  
    202      1235.108 DT     0080 Rx 0  
    203      1239.096 DT     0080 Rx 0  
    204      1243.086 DT     0080 Rx 0  
    205      1247.077 DT     0080 Rx 0  
    206      1251.065 DT     0080 Rx 0  
    207      1255.056 DT     0080 Rx 0  
    208      1259.044 DT     0080 Rx 0  
    209      1263.035 DT     0080 Rx 0  
    210      1267.021 DT     0080 Rx 0  
    211      1271.008 DT     0080 Rx 0  
    212      1274.999 DT     0080 Rx 0  
    213      1278.990 DT     0080 Rx 0  
    214      1282.980 DT     0080 Rx 0  
    215      1286.967 DT     0080 Rx 0  
    216      1290.957 DT     0080 Rx 0  
    217      1294.947 DT     0080 Rx 0  
    218      1298.935 DT     0080 Rx 0  
    219      1302.925 DT     0080 Rx 0  
    220      1306.912 DT     0080 Rx 0  
    221      1310.903 DT     0080 Rx 0  
    222      1314.892 DT     0080 Rx 0  
    223      1318.881 DT     0080 Rx 0  
    224      1322.870 DT     0080 Rx 0  
    225      1326.861 DT     0080 Rx 0  
    226      1330.849 DT     0080 Rx 0  
    227      1334.839 DT     0080 Rx 0  
    228      1338.828 DT     0080 Rx 0  
    229      1342.817 DT     0080 Rx 0  
    230      1346.805 DT     0080 Rx 0  
    231      1350.797 DT     0080 Rx 0  
    232      1354.786 DT     0080 Rx 0  
    233      1358.773 DT     0080 Rx 0  
    234      1362.763 DT     0080 Rx 0  
    235      1366.754 DT     0080 Rx 0  
    236      1370.745 DT     0080 Rx 0  
    237      1374.733 DT     0080 Rx 0  
    238      1378.723 DT     0080 Rx 0  
    239      1382.715 DT     0080 Rx 0  
    240      1386.702 DT     0080 Rx 0  
    241      1390.691 DT     0080 Rx 0  
    242      1394.680 DT     0080 Rx 0  
    243      1398.672 DT     0080 Rx 0  
    244      1402.663 DT     0080 Rx 0  
    245      1406.650 DT     0080 Rx 0  
    246      1410.642 DT     0080 Rx 0  
    247      1414.631 DT     0080 Rx 0  
    248      1418.621 DT     0080 Rx 0  
    249      1422.611 DT     0080 Rx 0  
    250      1426.602 DT     0080 Rx 0  
    251      1430.592 DT     0080 Rx 0  
    252      1434.582 DT     0080 Rx 0  
    253      1438.573 DT     0080 Rx 0  
    254      1442.561 DT     0080 Rx 0  
    255      1446.551 DT     0080 Rx 0  
    256      1450.541 DT     0080 Rx 0  
    257      1454.431 DT     0080 Rx 0  
    258      1458.421 DT     0080 Rx 0  
    259      1462.412 DT     0080 Rx 0  
    260      1466.402 DT     0080 Rx 0  
    261      1470.392 DT     0080 Rx 0  
    262      1474.383 DT     0080 Rx 0  
    263      1478.373 DT     0080 Rx 0  
    264      1482.362 DT     0080 Rx 0  
    265      1486.353 DT     0080 Rx 0  
    266      1490.342 DT     0080 Rx 0  
    267      1494.332 DT     0080 Rx 0  
    268      1498.321 DT     0080 Rx 0  
    269      1502.312 DT     0080 Rx 0  
    270      1506.300 DT     0080 Rx 0  
    271      1510.290 DT     0080 Rx 0  
    272      1514.280 DT     0080 Rx 0  
    273      1518.271 DT     0080 Rx 0  
    274      1522.259 DT     0080 Rx 0  
    275      1526.250 DT     0080 Rx 0  
    276      1530.239 DT     0080 Rx 0  
    277      1534.230 DT     0080 Rx 0  
    278      1538.218 DT     0080 Rx 0  
    279      1542.210 DT     0080 Rx 0  
    280      1546.200 DT     0080 Rx 0  
    281      1550.190 DT     0080 Rx 0  
    282      1554.177 DT     0080 Rx 0  
    283      1558.167 DT     0080 Rx 0  
    284      1562.158 DT     0080 Rx 0  
    285      1566.149 DT     0080 Rx 0  
    286      1570.137 DT     0080 Rx 0  
    287      1574.128 DT     0080 Rx 0  
    288      1578.116 DT     0080 Rx 0  
    289      1582.107 DT     0080 Rx 0  
    290      1586.097 DT     0080 Rx 0  
    291      1590.085 DT     0080 Rx 0  
    292      1594.074 DT     0080 Rx 0  
    293      1598.065 DT     0080 Rx 0  
    294      1602.054 DT     0080 Rx 0  
    295      1606.044 DT     0080 Rx 0  
    296      1610.035 DT     0080 Rx 0  
    297      1614.026 DT     0080 Rx 0  
    298      1618.017 DT     0080 Rx 0  
    299      1622.005 DT     0080 Rx 0  
    300      1625.994 DT     0080 Rx 0  
    301      1629.986 DT     0080 Rx 0  
    302      1633.976 DT     0080 Rx 0  
    303      1637.967 DT     0080 Rx 0  
    304      1641.955 DT     0080 Rx 0  
    305      1645.943 DT     0080 Rx 0  
    306      1649.935 DT     0080 Rx 0  
    307      1653.925 DT     0080 Rx 0  
    308      1657.912 DT     0080 Rx 0  
    309      1661.904 DT     0080 Rx 0  
    310      1665.893 DT     0080 Rx 0  
    311      1669.881 DT     0080 Rx 0  
    312      1673.872 DT     0080 Rx 0  
    313      1677.860 DT     0080 Rx 0  
    314      1681.850 DT     0080 Rx 0  
    315      1685.839 DT     0080 Rx 0  
    316      1689.828 DT     0080 Rx 0  
    317      1693.819 DT     0080 Rx 0  
    318      1697.806 DT     0080 Rx 0  
    319      1701.797 DT     0080 Rx 0  
    320      1705.785 DT     0080 Rx 0  
    321      1709.776 DT     0080 Rx 0  
    322      1713.763 DT     0080 Rx 0  
    323      1717.754 DT     0080 Rx 0  
    324      1721.742 DT     0080 Rx 0  
    325      1725.733 DT     0080 Rx 0  
    326      1729.721 DT     0080 Rx 0  
    327      1733.713 DT     0080 Rx 0  
    328      1737.701 DT     0080 Rx 0  
    329      1741.691 DT     0080 Rx 0  
    330      1745.677 DT     0080 Rx 0  
    331      1749.666 DT     0080 Rx 0  
    332      1753.656 DT     0080 Rx 0  
    333      1757.644 DT     0080 Rx 0  
    334      1761.635 DT     0080 Rx 0  
    335      1765.624 DT     0080 Rx 0  
    336      1769.612 DT     0080 Rx 0  
    337      1773.603 DT     0080 Rx 0  
    338      1777.593 DT     0080 Rx 0  
    339      1781.581 DT     0080 Rx 0  
    340      1785.569 DT     0080 Rx 0  
    341      1789.560 DT     0080 Rx 0  
    342      1793.548 DT     0080 Rx 0  
    343      1797.539 DT     0080 Rx 0  
    344      1801.527 DT     0080 Rx 0  
    345      1805.518 DT     0080 Rx 0  
    346      1809.506 DT     0080 Rx 0  
    347      1813.496 DT     0080 Rx 0  
    348      1817.486 DT     0080 Rx 0  
    349      1821.477 DT     0080 Rx 0  
    350      1825.465 DT     0080 Rx 0  
    351      1829.456 DT     0080 Rx 0  
    352      1833.445 DT     0080 Rx 0  
    353      1837.434 DT     0080 Rx 0  
    354      1841.425 DT     0080 Rx 0  
    355      1845.414 DT     0080 Rx 0  
    356      1849.402 DT     0080 Rx 0  
    357      1853.393 DT     0080 Rx 0  
    358      1857.382 DT     0080 Rx 0  
    359      1861.373 DT     0080 Rx 0  
    360      1865.361 DT     0080 Rx 0  
    361      1869.351 DT     0080 Rx 0  
    362      1873.343 DT     0080 Rx 0  
    363      1877.333 DT     0080 Rx 0  
    364      1881.324 DT     0080 Rx 0  
    365      1885.314 DT     0080 Rx 0  
    366      1889.303 DT     0080 Rx 0  
    367      1893.291 DT     0080 Rx 0  
    368      1897.282 DT     0080 Rx 0  
    369      1901.270 DT     0080 Rx 0  
    370      1905.263 DT     0080 Rx 0  
    371      1909.250 DT     0080 Rx 0  
    372      1913.241 DT     0080 Rx 0  
    373      1917.231 DT     0080 Rx 0  
    374      1921.221 DT     0080 Rx 0  
    375      1925.211 DT     0080 Rx 0  
    376      1929.199 DT     0080 Rx 0  
    377      1933.191 DT     0080 Rx 0  
    378      1937.180 DT     0080 Rx 0  
    379      1941.173 DT     0080 Rx 0  
    380      1945.161 DT     0080 Rx 0  
    381      1949.152 DT     0080 Rx 0  
    382      1953.143 DT     0080 Rx 0  
    383      1957.133 DT     0080 Rx 0  
    384      1961.123 DT     0080 Rx 0  
    385      1965.114 DT     0080 Rx 0  
    386      1969.102 DT     0080 Rx 0  
    387      1973.093 DT     0080 Rx 0  
    388      1977.083 DT     0080 Rx 0  
    389      1981.070 DT     0080 Rx 0  
    390      1985.061 DT     0080 Rx 0  
    391      1989.051 DT     0080 Rx 0  
    392      1993.042 DT     0080 Rx 0  
    393      1997.031 DT     0080 Rx 0  
    394      2001.022 DT     0080 Rx 0  
    395      2005.010 DT     0080 Rx 0  
    396      2009.000 DT     0080 Rx 0  
    397      2012.990 DT     0080 Rx 0  
    398      2016.978 DT     0080 Rx 0  
    399      2020.970 DT     0080 Rx 0  
    400      2024.960 DT     0080 Rx 0  
    401      2028.947 DT     0080 Rx 0  
    402      2032.935 DT     0080 Rx 0  
    403      2036.926 DT     0080 Rx 0  
    404      2040.916 DT     0080 Rx 0  
    405      2044.906 DT     0080 Rx 0  
    406      2048.896 DT     0080 Rx 0  
    407      2052.885 DT     0080 Rx 0  
    408      2056.875 DT     0080 Rx 0  
    409      2060.865 DT     0080 Rx 0  
    410      2064.855 DT     0080 Rx 0  
    411      2068.843 DT     0080 Rx 0  
    412      2072.835 DT     0080 Rx 0  
    413      2076.823 DT     0080 Rx 0  
    414      2080.811 DT     0080 Rx 0  
    415      2084.801 DT     0080 Rx 0  
    416      2088.791 DT     0080 Rx 0  
    417      2092.781 DT     0080 Rx 0  
    418      2096.769 DT     0080 Rx 0  
    419      2100.758 DT     0080 Rx 0  
    420      2104.746 DT     0080 Rx 0  
    421      2108.736 DT     0080 Rx 0  
    422      2112.727 DT     0080 Rx 0  
    423      2116.717 DT     0080 Rx 0  
    424      2120.706 DT     0080 Rx 0  
    425      2124.694 DT     0080 Rx 0  
    426      2128.684 DT     0080 Rx 0  
    427      2132.671 DT     0080 Rx 0  
    428      2136.660 DT     0080 Rx 0  
    429      2140.650 DT     0080 Rx 0  
    430      2144.639 DT     0080 Rx 0  
    431      2148.630 DT     0080 Rx 0  
    432      2152.620 DT     0080 Rx 0  
    433      2156.610 DT     0080 Rx 0  
    434      2160.599 DT     0080 Rx 0  
    435      2164.589 DT     0080 Rx 0  
    436      2168.577 DT     0080 Rx 0  
    437      2172.565 DT     0080 Rx 0  
    438      2176.556 DT     0080 Rx 0  
    439      2180.544 DT     0080 Rx 0  
    440      2184.531 DT     0080 Rx 0  
    441      2188.519 DT     0080 Rx 0  
    442      2192.510 DT     0080 Rx 0  
    443      2196.501 DT     0080 Rx 0  
    444      2200.489 DT     0080 Rx 0  
    445      2204.479 DT     0080 Rx 0  
    446      2208.468 DT     0080 Rx 0  
    447      2212.457 DT     0080 Rx 0  
    448      2216.447 DT     0080 Rx 0  
    449      2220.437 DT     0080 Rx 0  
    450      2224.425 DT     0080 Rx 0  
    451      2228.415 DT     0080 Rx 0  
    452      2232.404 DT     0080 Rx 0  
    453      2236.395 DT     0080 Rx 0  
    454      2240.384 DT     0080 Rx 0  
    455      2244.374 DT     0080 Rx 0  
    456      2248.363 DT     0080 Rx 0  
    457      2252.353 DT     0080 Rx 0  
    458      2256.339 DT     0080 Rx 0  
    459      2260.329 DT     0080 Rx 0  
    460      2264.318 DT     0080 Rx 0  
    461      2268.308 DT     0080 Rx 0  
    462      2272.296 DT     0080 Rx 0  
    463      2276.284 DT     0080 Rx 0  
    464      2280.274 DT     0080 Rx 0  
    465      2284.263 DT     0080 Rx 0  
    466      2288.253 DT     0080 Rx 0  
    467      2292.241 DT     0080 Rx 0  
    468      2296.227 DT     0080 Rx 0  
    469      2300.218 DT     0080 Rx 0  
    470      2304.206 DT     0080 Rx 0  
    471      2308.195 DT     0080 Rx 0  
    472      2312.184 DT     0080 Rx 0  
    473      2316.175 DT     0080 Rx 0  
    474      2320.164 DT     0080 Rx 0  
    475      2324.152 DT     0080 Rx 0  
    476      2328.142 DT     0080 Rx 0  
    477      2332.129 DT     0080 Rx 0  
    478      2336.120 DT     0080 Rx 0  
    479      2340.111 DT     0080 Rx 0  
    480      2344.099 DT     0080 Rx 0  
    481      2348.089 DT     0080 Rx 0  
    482      2352.078 DT     0080 Rx 0  
    483      2356.069 DT     0080 Rx 0  
    484      2360.057 DT     0080 Rx 0  
    485      2364.048 DT     0080 Rx 0  
    486      2368.035 DT     0080 Rx 0  
    487      2372.026 DT     0080 Rx 0  
    488      2376.013 DT     0080 Rx 0  
    489      2380.005 DT     0080 Rx 0  
    490      2383.993 DT     0080 Rx 0  
    491      2387.982 DT     0080 Rx 0  
    492      2391.970 DT     0080 Rx 0  
    493      2395.960 DT     0080 Rx 0  
    494      2399.950 DT     0080 Rx 0  
    495      2403.937 DT     0080 Rx 0  
    496      2407.928 DT     0080 Rx 0  
    497      2411.917 DT     0080 Rx 0  
    498      2415.905 DT     0080 Rx 0  
    499      2419.895 DT     0080 Rx 0  
    500      2423.883 DT     0080 Rx 0  
    501      2427.874 DT     0080 Rx 0  
    502      2431.862 DT     0080 Rx 0  
    503      2435.853 DT     0080 Rx 0  
    504      2439.841 DT     0080 Rx 0  
    505      2443.832 DT     0080 Rx 0  
    506      2447.819 DT     0080 Rx 0  
    507      2451.810 DT     0080 Rx 0  
    508      2455.696 DT     0080 Rx 0  
    509      2459.687 DT     0080 Rx 0  
    510      2463.675 DT     0080 Rx 0  
    511      2467.666 DT     0080 Rx 0  
    512      2471.654 DT     0080 Rx 0  
    513      2475.645 DT     0080 Rx 0  
    514      2479.634 DT     0080 Rx 0  
    515      2483.621 DT     0080 Rx 0  
    516      2487.608 DT     0080 Rx 0  
    517      2491.599 DT     0080 Rx 0  
    518      2495.587 DT     0080 Rx 0  
    519      2499.578 DT     0080 Rx 0  
    520      2503.565 DT     0080 Rx 0  
    521      2507.555 DT     0080 Rx 0  
    522      2511.545 DT     0080 Rx 0  
    523      2515.532 DT     0080 Rx 0  
    524      2519.523 DT     0080 Rx 0  
    525      2523.511 DT     0080 Rx 0  
    526      2527.501 DT     0080 Rx 0  
    527      2531.489 DT     0080 Rx 0  
    528      2535.479 DT     0080 Rx 0  
    529      2539.468 DT     0080 Rx 0  
    530      2543.458 DT     0080 Rx 0  
    531      2547.447 DT     0080 Rx 0  
    532      2551.436 DT     0080 Rx 0  
    533      2555.425 DT     0080 Rx 0  
    534      2559.416 DT     0080 Rx 0  
    535      2563.403 DT     0080 Rx 0  
    536      2567.394 DT     0080 Rx 0  
    537      2571.382 DT     0080 Rx 0  
    538      2575.372 DT     0080 Rx 0  
    539      2579.361 DT     0080 Rx 0  
    540      2583.351 DT     0080 Rx 0  
    541      2587.341 DT     0080 Rx 0  
    542      2591.329 DT     0080 Rx 0  
    543      2595.319 DT     0080 Rx 0  
    544      2599.310 DT     0080 Rx 0  
    545      2603.298 DT     0080 Rx 0  
    546      2607.288 DT     0080 Rx 0  
    547      2611.278 DT     0080 Rx 0  
    548      2615.266 DT     0080 Rx 0  
    549      2619.257 DT     0080 Rx 0  
    550      2623.245 DT     0080 Rx 0  
    551      2627.233 DT     0080 Rx 0  
    552      2631.226 DT     0080 Rx 0  
    553      2635.215 DT     0080 Rx 0  
    554      2639.205 DT     0080 Rx 0  
    555      2643.193 DT     0080 Rx 0  
    556      2647.181 DT     0080 Rx 0  
    557      2651.171 DT     0080 Rx 0  
    558      2655.162 DT     0080 Rx 0  
    559      2659.152 DT     0080 Rx 0  
    560      2663.140 DT     0080 Rx 0  
    561      2667.131 DT     0080 Rx 0  
    562      2671.121 DT     0080 Rx 0  
    563      2675.109 DT     0080 Rx 0  
    564      2679.097 DT     0080 Rx 0  
    565      2683.088 DT     0080 Rx 0  
    566      2687.076 DT     0080 Rx 0  
    567      2691.069 DT     0080 Rx 0  
    568      2695.057 DT     0080 Rx 0  
    569      2699.047 DT     0080 Rx 0  
    570      2703.036 DT     0080 Rx 0  
    571      2707.027 DT     0080 Rx 0  
    572      2711.016 DT     0080 Rx 0  
    573      2715.003 DT     0080 Rx 0  
    574      2718.994 DT     0080 Rx 0  
    575      2722.986 DT     0080 Rx 0  
    576      2726.973 DT     0080 Rx 0  
    577      2730.964 DT     0080 Rx 0  
    578      2734.953 DT     0080 Rx 0  
    579      2738.943 DT     0080 Rx 0  
    580      2742.932 DT     0080 Rx 0  
    581      2746.920 DT     0080 Rx 0  
    582      2750.910 DT     0080 Rx 0  
    583      2754.900 DT     0080 Rx 0  
    584      2758.889 DT     0080 Rx 0  
    585      2762.878 DT     0080 Rx 0  
    586      2766.868 DT     0080 Rx 0  
    587      2770.856 DT     0080 Rx 0  
    588      2774.844 DT     0080 Rx 0  
    589      2778.834 DT     0080 Rx 0  
    590      2782.824 DT     0080 Rx 0  
    591      2786.811 DT     0080 Rx 0  
    592      2790.801 DT     0080 Rx 0  
    593      2794.789 DT     0080 Rx 0  
    594      2798.779 DT     0080 Rx 0  
    595      2802.766 DT     0080 Rx 0  
    596      2806.756 DT     0080 Rx 0  
    597      2810.745 DT     0080 Rx 0  
    598      2814.735 DT     0080 Rx 0  
    599      2818.723 DT     0080 Rx 0  
    600      2822.712 DT     0080 Rx 0  
    601      2826.702 DT     0080 Rx 0  
    602      2830.691 DT     0080 Rx 0  
    603      2834.682 DT     0080 Rx 0  
    604      2838.670 DT     0080 Rx 0  
    605      2842.659 DT     0080 Rx 0  
    606      2846.649 DT     0080 Rx 0  
    607      2850.639 DT     0080 Rx 0  
    608      2854.627 DT     0080 Rx 0  
    609      2858.615 DT     0080 Rx 0  
    610      2862.606 DT     0080 Rx 0  
    611      2866.594 DT     0080 Rx 0  
    612      2870.584 DT     0080 Rx 0  
    613      2874.574 DT     0080 Rx 0  
    614      2878.563 DT     0080 Rx 0  
    615      2882.552 DT     0080 Rx 0  
    616      2886.540 DT     0080 Rx 0  
    617      2890.530 DT     0080 Rx 0  
    618      2894.518 DT     0080 Rx 0  
    619      2898.509 DT     0080 Rx 0  
    620      2902.500 DT     0080 Rx 0  
    621      2906.490 DT     0080 Rx 0  
    622      2910.478 DT     0080 Rx 0  
    623      2914.468 DT     0080 Rx 0  
    624      2918.457 DT     0080 Rx 0  
    625      2922.448 DT     0080 Rx 0  
    626      2926.438 DT     0080 Rx 0  
    627      2930.425 DT     0080 Rx 0  
    628      2934.417 DT     0080 Rx 0  
    629      2938.405 DT     0080 Rx 0  
    630      2942.394 DT     0080 Rx 0  
    631      2946.381 DT     0080 Rx 0  
    632      2950.370 DT     0080 Rx 0  
    633      2954.361 DT     0080 Rx 0  
    634      2958.350 DT     0080 Rx 0  
    635      2962.338 DT     0080 Rx 0  
    636      2966.326 DT     0080 Rx 0  
    637      2970.317 DT     0080 Rx 0  
    638      2974.305 DT     0080 Rx 0  
    639      2978.293 DT     0080 Rx 0  
    640      2982.280 DT     0080 Rx 0  
    641      2986.270 DT     0080 Rx 0  
    642      2990.261 DT     0080 Rx 0  
    643      2994.249 DT     0080 Rx 0  
    644      2998.239 DT     0080 Rx 0  
    645      3002.229 DT     0080 Rx 0  
    646      3006.219 DT     0080 Rx 0  
    647      3010.210 DT     0080 Rx 0  
    648      3014.199 DT     0080 Rx 0  
    649      3018.190 DT     0080 Rx 0  
    650      3022.180 DT     0080 Rx 0  
    651      3026.171 DT     0080 Rx 0  
    652      3030.160 DT     0080 Rx 0  
