;$FILEVERSION=2.0
;$STARTTIME=45232.8661187384
;$COLUMNS=N,O,T,I,d,l,D
;
;   Start time: 2023/11/2 20:47:12.659.0
;   Generated by PCAN-View v4.3.4.615
;-------------------------------------------------------------------------------
;   Connection                 Bit rate
;   PCANLight_USB_16@pcan_usb  Nominal 1 MBit/s, Data 1 MBit/s
;-------------------------------------------------------------------------------
;   Message   Time    Type ID     Rx/Tx
;   Number    Offset  |    [hex]  |  Data Length
;   |         [ms]    |    |      |  |  Data [hex] ...
;   |         |       |    |      |  |  |
;---+-- ------+------ +- --+----- +- +- +- +- -- -- -- -- -- -- --
      1       433.242 DT     0080 Rx 0  
      2       437.231 DT     0080 Rx 0  
      3       441.220 DT     0080 Rx 0  
      4       445.211 DT     0080 Rx 0  
      5       449.201 DT     0080 Rx 0  
      6       453.192 DT     0080 Rx 0  
      7       457.080 DT     0080 Rx 0  
      8       461.069 DT     0080 Rx 0  
      9       465.060 DT     0080 Rx 0  
     10       469.049 DT     0080 Rx 0  
     11       473.037 DT     0080 Rx 0  
     12       477.026 DT     0080 Rx 0  
     13       481.014 DT     0080 Rx 0  
     14       485.008 DT     0080 Rx 0  
     15       488.995 DT     0080 Rx 0  
     16       492.984 DT     0080 Rx 0  
     17       496.972 DT     0080 Rx 0  
     18       500.963 DT     0080 Rx 0  
     19       504.953 DT     0080 Rx 0  
     20       508.943 DT     0080 Rx 0  
     21       512.932 DT     0080 Rx 0  
     22       516.921 DT     0080 Rx 0  
     23       520.911 DT     0080 Rx 0  
     24       524.901 DT     0080 Rx 0  
     25       528.892 DT     0080 Rx 0  
     26       532.879 DT     0080 Rx 0  
     27       536.871 DT     0080 Rx 0  
     28       540.859 DT     0080 Rx 0  
     29       544.849 DT     0080 Rx 0  
     30       548.840 DT     0080 Rx 0  
     31       552.829 DT     0080 Rx 0  
     32       556.818 DT     0080 Rx 0  
     33       560.808 DT     0080 Rx 0  
     34       564.798 DT     0080 Rx 0  
     35       568.789 DT     0080 Rx 0  
