;$FILEVERSION=2.0
;$STARTTIME=45224.5492104398
;$COLUMNS=N,O,T,I,d,l,D
;
;   Start time: 2023/10/25 13:10:51.782.0
;   Generated by PCAN-View v4.3.4.615





[TPDO1]
1=0x60640020
2=0x607A0020


;-------------------------------------------------------------------------------
;   Connection                 Bit rate
;   PCANLight_USB_16@pcan_usb  Nominal 1 MBit/s, Data 1 MBit/s
;-------------------------------------------------------------------------------
;   Message   Time    Type ID     Rx/Tx
;   Number    Offset  |    [hex]  |  Data Length
;   |         [ms]    |    |      |  |  Data [hex] ...
;   |         |       |    |      |  |  |
;---+-- ------+------ +- --+----- +- +- +- +- -- -- -- -- -- -- --
    130   2358368.151 DT     0080 Rx 0  
    131   2358378.124 DT     0080 Rx 0  
    132   2358388.097 DT     0080 Rx 0  
    133   2358398.069 DT     0080 Rx 0  
    134   2358408.042 DT     0080 Rx 0  
    135   2358418.014 DT     0080 Rx 0  
    136   2358427.984 DT     0080 Rx 0  
    137   2358437.957 DT     0080 Rx 0  
    138   2358447.927 DT     0080 Rx 0  
    139   2358457.900 DT     0080 Rx 0  
    140   2358467.873 DT     0080 Rx 0  
    141   2358477.845 DT     0080 Rx 0  
    142   2358487.818 DT     0080 Rx 0  
    143   2358497.790 DT     0080 Rx 0  
    144   2358507.762 DT     0080 Rx 0  
    145   2358517.737 DT     0080 Rx 0  
    146   2358527.709 DT     0080 Rx 0  
    147   2358537.682 DT     0080 Rx 0  
    148   2358547.655 DT     0080 Rx 0  
    149   2358557.627 DT     0080 Rx 0  
    150   2358567.598 DT     0080 Rx 0  
    151   2358577.570 DT     0080 Rx 0  
    152   2358587.543 DT     0080 Rx 0  
    153   2358597.515 DT     0080 Rx 0  
    154   2358607.487 DT     0080 Rx 0  
    155   2358612.931 DT     0717 Rx 1  7F 
    156   2358617.458 DT     0080 Rx 0  
    157   2358627.433 DT     0080 Rx 0  
    158   2358637.402 DT     0080 Rx 0  
    159   2358647.375 DT     0080 Rx 0  
    160   2358657.347 DT     0080 Rx 0  
    161   2358667.320 DT     0080 Rx 0  
    162   2358677.295 DT     0080 Rx 0  
    163   2358687.268 DT     0080 Rx 0  
    164   2358697.240 DT     0080 Rx 0  
    165   2358707.214 DT     0080 Rx 0  
    166   2358717.189 DT     0080 Rx 0  
    167   2358727.163 DT     0080 Rx 0  
    168   2358737.136 DT     0080 Rx 0  
    169   2358747.109 DT     0080 Rx 0  
    170   2358757.084 DT     0080 Rx 0  
    171   2358767.056 DT     0080 Rx 0  
    172   2358777.031 DT     0080 Rx 0  
    173   2358787.004 DT     0080 Rx 0  
    174   2358796.979 DT     0080 Rx 0  
    175   2358806.954 DT     0080 Rx 0  
    176   2358816.927 DT     0080 Rx 0  
    177   2358826.901 DT     0080 Rx 0  
    178   2358836.877 DT     0080 Rx 0  
