;$FILEVERSION=2.0
;$STARTTIME=45232.8237570602
;$COLUMNS=N,O,T,I,d,l,D
;
;   Start time: 2023/11/2 19:46:12.610.0
;   Generated by PCAN-View v4.3.4.615
;-------------------------------------------------------------------------------
;   Connection                 Bit rate
;   PCANLight_USB_16@pcan_usb  Nominal 1 MBit/s, Data 1 MBit/s
;-------------------------------------------------------------------------------
;   Message   Time    Type ID     Rx/Tx
;   Number    Offset  |    [hex]  |  Data Length
;   |         [ms]    |    |      |  |  Data [hex] ...
;   |         |       |    |      |  |  |
;---+-- ------+------ +- --+----- +- +- +- +- -- -- -- -- -- -- --
    138      3318.533 DT     0080 Rx 0  
    139      3328.512 DT     0080 Rx 0  
    140      3338.491 DT     0080 Rx 0  
    141      3348.467 DT     0080 Rx 0  
    142      3358.443 DT     0080 Rx 0  
    143      3368.420 DT     0080 Rx 0  
    144      3378.397 DT     0080 Rx 0  
    145      3388.373 DT     0080 Rx 0  
    146      3398.349 DT     0080 Rx 0  
    147      3408.327 DT     0080 Rx 0  
    148      3418.305 DT     0080 Rx 0  
    149      3428.282 DT     0080 Rx 0  
    150      3438.260 DT     0080 Rx 0  
    151      3448.238 DT     0080 Rx 0  
    152      3458.213 DT     0080 Rx 0  
    153      3468.189 DT     0080 Rx 0  
    154      3478.165 DT     0080 Rx 0  
    155      3488.145 DT     0080 Rx 0  
    156      3498.121 DT     0080 Rx 0  
    157      3508.098 DT     0080 Rx 0  
    158      3518.074 DT     0080 Rx 0  
    159      3528.052 DT     0080 Rx 0  
    160      3538.027 DT     0080 Rx 0  
    161      3548.004 DT     0080 Rx 0  
    162      3557.979 DT     0080 Rx 0  
    163      3567.953 DT     0080 Rx 0  
    164      3577.930 DT     0080 Rx 0  
    165      3587.905 DT     0080 Rx 0  
    166      3597.886 DT     0080 Rx 0  
    167      3607.863 DT     0080 Rx 0  
    168      3617.841 DT     0080 Rx 0  
    169      3627.818 DT     0080 Rx 0  
    170      3637.796 DT     0080 Rx 0  
    171      3647.773 DT     0080 Rx 0  
    172      3657.751 DT     0080 Rx 0  
    173      3667.731 DT     0080 Rx 0  
    174      3677.707 DT     0080 Rx 0  
    175      3687.683 DT     0080 Rx 0  
    176      3697.662 DT     0080 Rx 0  
    177      3707.635 DT     0080 Rx 0  
    178      3717.610 DT     0080 Rx 0  
    179      3727.583 DT     0080 Rx 0  
    180      3737.560 DT     0080 Rx 0  
    181      3747.534 DT     0080 Rx 0  
    182      3757.510 DT     0080 Rx 0  
    183      3767.489 DT     0080 Rx 0  
    184      3777.464 DT     0080 Rx 0  
    185      3787.441 DT     0080 Rx 0  
    186      3797.417 DT     0080 Rx 0  
    187      3807.393 DT     0080 Rx 0  
    188      3817.371 DT     0080 Rx 0  
    189      3827.347 DT     0080 Rx 0  
    190      3837.322 DT     0080 Rx 0  
    191      3847.296 DT     0080 Rx 0  
    192      3857.272 DT     0080 Rx 0  
    193      3867.248 DT     0080 Rx 0  
    194      3877.226 DT     0080 Rx 0  
    195      3887.203 DT     0080 Rx 0  
    196      3897.179 DT     0080 Rx 0  
    197      3907.156 DT     0080 Rx 0  
    198      3917.131 DT     0080 Rx 0  
    199      3927.106 DT     0080 Rx 0  
    200      3937.083 DT     0080 Rx 0  
