;$FILEVERSION=2.0
;$STARTTIME=45232.8237570602
;$COLUMNS=N,O,T,I,d,l,D
;
;   Start time: 2023/11/2 19:46:12.610.0
;   Generated by PCAN-View v4.3.4.615
;-------------------------------------------------------------------------------
;   Connection                 Bit rate
;   PCANLight_USB_16@pcan_usb  Nominal 1 MBit/s, Data 1 MBit/s
;-------------------------------------------------------------------------------
;   Message   Time    Type ID     Rx/Tx
;   Number    Offset  |    [hex]  |  Data Length
;   |         [ms]    |    |      |  |  Data [hex] ...
;   |         |       |    |      |  |  |
;---+-- ------+------ +- --+----- +- +- +- +- -- -- -- -- -- -- --
   1277     11976.799 DT     0080 Rx 0  
   1278     11986.775 DT     0080 Rx 0  
   1279     11996.751 DT     0080 Rx 0  
   1280     12003.334 DT     0181 Rx 8  00 80 37 86 78 FF 01 00 
   1281     12003.461 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1282     12006.725 DT     0080 Rx 0  
   1283     12016.700 DT     0080 Rx 0  
   1284     12026.674 DT     0080 Rx 0  
   1285     12036.648 DT     0080 Rx 0  
   1286     12046.622 DT     0080 Rx 0  
   1287     12056.598 DT     0080 Rx 0  
   1288     12062.449 DT     0181 Rx 8  00 80 37 86 77 FF 01 00 
   1289     12062.571 DT     0281 Rx 8  00 00 00 00 18 FC FF FF 
   1290     12066.573 DT     0080 Rx 0  
   1291     12076.545 DT     0080 Rx 0  
   1292     12086.519 DT     0080 Rx 0  
   1293     12092.295 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1294     12096.494 DT     0080 Rx 0  
   1295     12106.469 DT     0080 Rx 0  
   1296     12116.447 DT     0080 Rx 0  
   1297     12126.422 DT     0080 Rx 0  
   1298     12136.396 DT     0080 Rx 0  
   1299     12146.372 DT     0080 Rx 0  
   1300     12156.347 DT     0080 Rx 0  
   1301     12166.322 DT     0080 Rx 0  
   1302     12176.296 DT     0080 Rx 0  
   1303     12186.270 DT     0080 Rx 0  
   1304     12196.141 DT     0080 Rx 0  
   1305     12206.117 DT     0080 Rx 0  
   1306     12212.133 DT     0281 Rx 8  00 00 00 00 E8 03 00 00 
   1307     12212.319 DT     0181 Rx 8  00 80 37 86 78 FF 01 00 
   1308     12216.090 DT     0080 Rx 0  
   1309     12226.067 DT     0080 Rx 0  
   1310     12236.041 DT     0080 Rx 0  
   1311     12242.087 DT     0181 Rx 8  00 80 37 86 78 FF 01 00 
   1312     12242.211 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1313     12246.018 DT     0080 Rx 0  
   1314     12255.991 DT     0080 Rx 0  
   1315     12265.968 DT     0080 Rx 0  
   1316     12275.942 DT     0080 Rx 0  
   1317     12281.196 DT     0181 Rx 8  00 80 37 86 77 FF 01 00 
   1318     12281.318 DT     0281 Rx 8  00 00 00 00 18 FC FF FF 
   1319     12285.916 DT     0080 Rx 0  
   1320     12286.985 DT     0601 Rx 8  2F C2 60 01 0A 00 66 AB 
   1321     12287.440 DT     0581 Rx 8  60 C2 60 01 00 00 00 00 
   1322     12290.976 DT     0601 Rx 8  2F C2 60 02 FD 00 66 AB 
   1323     12291.259 DT     0581 Rx 8  60 C2 60 02 00 00 00 00 
   1324     12295.890 DT     0080 Rx 0  
   1325     12296.962 DT     0601 Rx 8  23 00 18 01 81 01 00 80 
   1326     12297.448 DT     0581 Rx 8  60 00 18 01 00 00 00 00 
   1327     12304.942 DT     0601 Rx 8  2F 00 18 02 01 00 66 AB 
   1328     12305.289 DT     0581 Rx 8  60 00 18 02 00 00 00 00 
   1329     12305.869 DT     0080 Rx 0  
   1330     12311.066 DT     0281 Rx 8  00 00 00 00 18 FC FF FF 
   1331     12314.920 DT     0601 Rx 8  2B 00 18 03 14 00 66 AB 
   1332     12315.223 DT     0581 Rx 8  60 00 18 03 00 00 00 00 
   1333     12315.844 DT     0080 Rx 0  
   1334     12322.905 DT     0601 Rx 8  23 00 18 01 81 01 00 00 
   1335     12323.396 DT     0581 Rx 8  60 00 18 01 00 00 00 00 
   1336     12323.564 DT     0181 Rx 8  00 80 37 86 78 FF 01 00 
   1337     12325.819 DT     0080 Rx 0  
   1338     12326.069 DT     0181 Rx 8  00 80 37 86 78 FF 01 00 
   1339     12328.887 DT     0601 Rx 8  23 01 18 01 81 02 00 80 
   1340     12329.234 DT     0581 Rx 8  60 01 18 01 00 00 00 00 
   1341     12334.872 DT     0601 Rx 8  2F 01 18 02 01 00 66 AB 
   1342     12335.221 DT     0581 Rx 8  60 01 18 02 00 00 00 00 
   1343     12335.798 DT     0080 Rx 0  
   1344     12336.081 DT     0181 Rx 8  00 80 37 86 77 FF 01 00 
   1345     12340.858 DT     0601 Rx 8  2B 01 18 03 14 00 66 AB 
   1346     12341.199 DT     0581 Rx 8  60 01 18 03 00 00 00 00 
   1347     12345.775 DT     0080 Rx 0  
   1348     12346.070 DT     0181 Rx 8  00 80 37 86 78 FF 01 00 
   1349     12348.842 DT     0601 Rx 8  23 01 18 01 81 02 00 00 
   1350     12349.255 DT     0581 Rx 8  60 01 18 01 00 00 00 00 
   1351     12355.750 DT     0080 Rx 0  
   1352     12356.158 DT     0181 Rx 8  00 80 37 86 78 FF 01 00 
   1353     12356.280 DT     0281 Rx 8  00 00 00 00 E8 03 00 00 
   1354     12356.821 DT     0601 Rx 8  2B 8E 20 00 00 00 66 AB 
   1355     12357.206 DT     0581 Rx 8  60 8E 20 00 00 00 00 00 
   1356     12360.813 DT     0601 Rx 8  2B C0 60 00 00 00 66 AB 
   1357     12361.232 DT     0581 Rx 8  60 C0 60 00 00 00 00 00 
   1358     12365.726 DT     0080 Rx 0  
   1359     12366.198 DT     0181 Rx 8  00 80 37 86 77 FF 01 00 
   1360     12366.320 DT     0281 Rx 8  00 00 00 00 18 FC FF FF 
   1361     12366.797 DT     0601 Rx 8  2B 73 20 00 14 00 66 AB 
   1362     12367.218 DT     0581 Rx 8  60 73 20 00 00 00 00 00 
   1363     12370.785 DT     0601 Rx 8  2B 74 20 00 80 D5 66 AB 
   1364     12371.204 DT     0581 Rx 8  60 74 20 00 00 00 00 00 
   1365     12375.704 DT     0080 Rx 0  
   1366     12376.067 DT     0181 Rx 8  00 80 37 86 77 FF 01 00 
   1367     12376.191 DT     0281 Rx 8  00 00 00 00 18 FC FF FF 
   1368     12376.773 DT     0601 Rx 8  2F 60 60 00 08 00 66 AB 
   1369     12378.003 DT     0581 Rx 8  60 60 60 00 00 00 00 00 
   1370     12385.679 DT     0080 Rx 0  
   1371     12386.168 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1372     12386.290 DT     0281 Rx 8  00 00 00 00 18 FC FF FF 
   1373     12395.657 DT     0080 Rx 0  
   1374     12396.141 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1375     12396.267 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1376     12405.632 DT     0080 Rx 0  
   1377     12406.030 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1378     12406.157 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1379     12415.609 DT     0080 Rx 0  
   1380     12416.135 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1381     12416.259 DT     0281 Rx 8  00 00 00 00 18 FC FF FF 
   1382     12425.587 DT     0080 Rx 0  
   1383     12426.144 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1384     12426.268 DT     0281 Rx 8  00 00 00 00 E8 03 00 00 
   1385     12435.562 DT     0080 Rx 0  
   1386     12436.099 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1387     12436.223 DT     0281 Rx 8  00 00 00 00 E8 03 00 00 
   1388     12445.538 DT     0080 Rx 0  
   1389     12446.121 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1390     12446.245 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1391     12455.511 DT     0080 Rx 0  
   1392     12456.124 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1393     12456.251 DT     0281 Rx 8  00 00 00 00 18 FC FF FF 
   1394     12465.487 DT     0080 Rx 0  
   1395     12466.011 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1396     12466.136 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1397     12475.462 DT     0080 Rx 0  
   1398     12476.104 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1399     12476.228 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1400     12485.437 DT     0080 Rx 0  
   1401     12485.997 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1402     12486.124 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1403     12495.410 DT     0080 Rx 0  
   1404     12495.972 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1405     12496.096 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1406     12505.385 DT     0080 Rx 0  
   1407     12506.079 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1408     12506.204 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1409     12515.361 DT     0080 Rx 0  
   1410     12516.091 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1411     12516.216 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1412     12525.338 DT     0080 Rx 0  
   1413     12525.959 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1414     12526.086 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1415     12535.314 DT     0080 Rx 0  
   1416     12535.950 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1417     12536.074 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1418     12545.290 DT     0080 Rx 0  
   1419     12546.039 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1420     12546.166 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1421     12555.267 DT     0080 Rx 0  
   1422     12555.937 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1423     12556.064 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1424     12565.242 DT     0080 Rx 0  
   1425     12566.054 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1426     12566.181 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1427     12575.215 DT     0080 Rx 0  
   1428     12576.051 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1429     12576.178 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1430     12585.189 DT     0080 Rx 0  
   1431     12585.912 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1432     12586.037 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1433     12595.164 DT     0080 Rx 0  
   1434     12596.049 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1435     12596.176 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1436     12605.141 DT     0080 Rx 0  
   1437     12605.905 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1438     12606.032 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1439     12615.117 DT     0080 Rx 0  
   1440     12615.904 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1441     12616.029 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1442     12625.090 DT     0080 Rx 0  
   1443     12625.998 DT     0181 Rx 8  00 80 37 92 79 FF 01 00 
   1444     12626.122 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1445     12635.064 DT     0080 Rx 0  
   1446     12636.020 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1447     12636.144 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1448     12645.041 DT     0080 Rx 0  
   1449     12646.008 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1450     12646.131 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1451     12655.015 DT     0080 Rx 0  
   1452     12655.973 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1453     12656.098 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1454     12664.990 DT     0080 Rx 0  
   1455     12665.975 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1456     12666.102 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1457     12674.965 DT     0080 Rx 0  
   1458     12675.988 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1459     12676.115 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1460     12684.943 DT     0080 Rx 0  
   1461     12685.857 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1462     12685.984 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1463     12694.918 DT     0080 Rx 0  
   1464     12695.965 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1465     12696.089 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1466     12704.895 DT     0080 Rx 0  
   1467     12705.841 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1468     12705.966 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1469     12714.871 DT     0080 Rx 0  
   1470     12715.856 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1471     12715.983 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1472     12724.847 DT     0080 Rx 0  
   1473     12725.922 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1474     12726.048 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1475     12734.823 DT     0080 Rx 0  
   1476     12735.956 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1477     12736.080 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1478     12744.798 DT     0080 Rx 0  
   1479     12745.816 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1480     12745.940 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1481     12754.774 DT     0080 Rx 0  
   1482     12755.948 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1483     12756.072 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1484     12764.748 DT     0080 Rx 0  
   1485     12765.808 DT     0181 Rx 8  00 80 37 92 79 FF 01 00 
   1486     12765.932 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1487     12774.721 DT     0080 Rx 0  
   1488     12775.904 DT     0181 Rx 8  00 80 37 92 79 FF 01 00 
   1489     12776.031 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1490     12784.697 DT     0080 Rx 0  
   1491     12785.932 DT     0181 Rx 8  00 80 37 92 79 FF 01 00 
   1492     12786.059 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1493     12794.672 DT     0080 Rx 0  
   1494     12795.892 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1495     12796.018 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1496     12804.649 DT     0080 Rx 0  
   1497     12805.793 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1498     12805.918 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1499     12814.620 DT     0080 Rx 0  
   1500     12815.892 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1501     12816.016 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1502     12824.593 DT     0080 Rx 0  
   1503     12825.900 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1504     12826.027 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1505     12834.566 DT     0080 Rx 0  
   1506     12835.739 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1507     12835.866 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1508     12844.541 DT     0080 Rx 0  
   1509     12845.850 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1510     12845.975 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1511     12854.516 DT     0080 Rx 0  
   1512     12854.878 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1513     12855.003 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1514     12864.490 DT     0080 Rx 0  
   1515     12864.873 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1516     12864.997 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1517     12874.464 DT     0080 Rx 0  
   1518     12874.756 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1519     12874.882 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1520     12884.441 DT     0080 Rx 0  
   1521     12884.839 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1522     12884.966 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1523     12894.418 DT     0080 Rx 0  
   1524     12894.742 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1525     12894.866 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1526     12904.394 DT     0080 Rx 0  
   1527     12904.826 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1528     12904.950 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1529     12906.655 DT     0701 Rx 1  05 
   1530     12914.370 DT     0080 Rx 0  
   1531     12914.822 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1532     12914.949 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1533     12924.347 DT     0080 Rx 0  
   1534     12924.709 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1535     12924.835 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1536     12934.323 DT     0080 Rx 0  
   1537     12934.820 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1538     12934.944 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1539     12944.300 DT     0080 Rx 0  
   1540     12944.696 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1541     12944.823 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1542     12954.277 DT     0080 Rx 0  
   1543     12954.713 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1544     12954.837 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1545     12964.253 DT     0080 Rx 0  
   1546     12964.802 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1547     12964.932 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1548     12974.232 DT     0080 Rx 0  
   1549     12974.790 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1550     12974.914 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1551     12984.209 DT     0080 Rx 0  
   1552     12984.679 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1553     12984.806 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1554     12994.185 DT     0080 Rx 0  
   1555     12994.764 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1556     12994.890 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1557     13004.162 DT     0080 Rx 0  
   1558     13004.809 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1559     13004.933 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1560     13014.139 DT     0080 Rx 0  
   1561     13014.768 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1562     13014.892 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1563     13024.117 DT     0080 Rx 0  
   1564     13024.646 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1565     13024.773 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1566     13034.093 DT     0080 Rx 0  
   1567     13034.659 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1568     13034.786 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1569     13044.068 DT     0080 Rx 0  
   1570     13044.727 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1571     13044.852 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1572     13054.041 DT     0080 Rx 0  
   1573     13054.758 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1574     13054.887 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1575     13064.015 DT     0080 Rx 0  
   1576     13064.620 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1577     13064.747 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1578     13073.992 DT     0080 Rx 0  
   1579     13074.727 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1580     13074.852 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1581     13083.967 DT     0080 Rx 0  
   1582     13084.724 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1583     13084.848 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1584     13093.946 DT     0080 Rx 0  
   1585     13094.699 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1586     13094.826 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1587     13103.923 DT     0080 Rx 0  
   1588     13104.898 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1589     13105.025 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1590     13113.901 DT     0080 Rx 0  
   1591     13114.592 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1592     13114.719 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1593     13123.878 DT     0080 Rx 0  
   1594     13124.585 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1595     13124.710 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1596     13133.855 DT     0080 Rx 0  
   1597     13134.599 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1598     13134.724 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1599     13143.830 DT     0080 Rx 0  
   1600     13144.692 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1601     13144.819 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1602     13153.808 DT     0080 Rx 0  
   1603     13154.580 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1604     13154.707 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1605     13163.785 DT     0080 Rx 0  
   1606     13164.669 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1607     13164.794 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1608     13173.758 DT     0080 Rx 0  
   1609     13174.668 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1610     13174.795 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1611     13183.735 DT     0080 Rx 0  
   1612     13184.668 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1613     13184.795 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1614     13193.712 DT     0080 Rx 0  
   1615     13194.556 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1616     13194.680 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1617     13203.588 DT     0080 Rx 0  
   1618     13204.590 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1619     13204.718 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1620     13213.563 DT     0080 Rx 0  
   1621     13214.452 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1622     13214.579 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1623     13223.542 DT     0080 Rx 0  
   1624     13224.543 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1625     13224.670 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1626     13233.520 DT     0080 Rx 0  
   1627     13234.539 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1628     13234.666 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1629     13243.498 DT     0080 Rx 0  
   1630     13244.541 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1631     13244.668 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1632     13253.476 DT     0080 Rx 0  
   1633     13254.425 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1634     13254.552 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1635     13263.452 DT     0080 Rx 0  
   1636     13264.520 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1637     13264.647 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1638     13273.431 DT     0080 Rx 0  
   1639     13274.514 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1640     13274.641 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1641     13283.406 DT     0080 Rx 0  
   1642     13284.527 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1643     13284.654 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1644     13293.383 DT     0080 Rx 0  
   1645     13294.518 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1646     13294.645 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1647     13303.358 DT     0080 Rx 0  
   1648     13304.386 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1649     13304.513 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1650     13313.336 DT     0080 Rx 0  
   1651     13314.479 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1652     13314.605 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1653     13323.315 DT     0080 Rx 0  
   1654     13324.498 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1655     13324.625 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1656     13333.292 DT     0080 Rx 0  
   1657     13334.491 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1658     13334.615 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1659     13343.268 DT     0080 Rx 0  
   1660     13344.363 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1661     13344.490 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1662     13353.246 DT     0080 Rx 0  
   1663     13354.454 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1664     13354.578 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1665     13363.224 DT     0080 Rx 0  
   1666     13364.338 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1667     13364.465 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1668     13373.199 DT     0080 Rx 0  
   1669     13374.345 DT     0181 Rx 8  00 80 37 92 78 FF 01 00 
   1670     13374.470 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1671     13383.177 DT     0080 Rx 0  
   1672     13384.330 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1673     13384.452 DT     0281 Rx 8  00 00 00 00 18 FC FF FF 
   1674     13393.154 DT     0080 Rx 0  
   1675     13394.434 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1676     13394.556 DT     0281 Rx 8  00 00 00 00 18 FC FF FF 
   1677     13403.132 DT     0080 Rx 0  
   1678     13404.452 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1679     13404.577 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1680     13413.108 DT     0080 Rx 0  
   1681     13414.446 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1682     13414.570 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1683     13423.082 DT     0080 Rx 0  
   1684     13424.424 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1685     13424.552 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1686     13433.059 DT     0080 Rx 0  
   1687     13433.458 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1688     13433.584 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1689     13443.033 DT     0080 Rx 0  
   1690     13443.304 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1691     13443.431 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1692     13453.009 DT     0080 Rx 0  
   1693     13453.443 DT     0181 Rx 8  00 80 37 92 77 FF 01 00 
   1694     13453.568 DT     0281 Rx 8  00 00 00 00 00 00 00 00 
   1695     13462.983 DT     0080 Rx 0  
